timestamp,mode,dataset,steps,model_name,IoU,IoU@50,IoU@75,IoU@95,seg_loss,score_loss,total_loss
2025-04-29T09:28:32.808401,train,severstal,100,fine_tuned_sam2_severstal_full,0.0417,,,,,,
2025-04-29T09:28:38.641227,train,severstal,200,fine_tuned_sam2_severstal_full,0.3184,,,,,,
2025-04-29T09:28:44.400146,train,severstal,300,fine_tuned_sam2_severstal_full,0.0395,,,,,,
2025-04-29T09:28:50.200628,train,severstal,400,fine_tuned_sam2_severstal_full,0.1665,,,,,,
2025-04-29T09:28:56.011159,train,severstal,500,fine_tuned_sam2_severstal_full,0.2108,,,,,,
2025-04-29T09:29:01.701032,train,severstal,600,fine_tuned_sam2_severstal_full,0.3123,,,,,,
2025-04-29T09:29:07.491797,train,severstal,700,fine_tuned_sam2_severstal_full,0.1349,,,,,,
2025-04-29T09:29:13.347119,train,severstal,800,fine_tuned_sam2_severstal_full,0.6622,,,,,,
2025-04-29T09:29:19.264159,train,severstal,900,fine_tuned_sam2_severstal_full,0.4544,,,,,,
2025-04-29T09:29:25.106244,train,severstal,1000,fine_tuned_sam2_severstal_full,0.1126,,,,,,
2025-04-29T09:29:30.971472,train,severstal,1100,fine_tuned_sam2_severstal_full,0.6379,,,,,,
2025-04-29T09:29:36.834693,train,severstal,1200,fine_tuned_sam2_severstal_full,0.7154,,,,,,
2025-04-29T09:29:42.683303,train,severstal,1300,fine_tuned_sam2_severstal_full,0.21,,,,,,
2025-04-29T09:29:48.550381,train,severstal,1400,fine_tuned_sam2_severstal_full,0.2485,,,,,,
2025-04-29T09:29:54.502256,train,severstal,1500,fine_tuned_sam2_severstal_full,0.1771,,,,,,
2025-04-29T09:30:00.107563,train,severstal,1600,fine_tuned_sam2_severstal_full,0.1923,,,,,,
2025-04-29T09:30:05.725609,train,severstal,1700,fine_tuned_sam2_severstal_full,0.2382,,,,,,
2025-04-29T09:30:11.502356,train,severstal,1800,fine_tuned_sam2_severstal_full,0.0504,,,,,,
2025-04-29T09:30:17.315731,train,severstal,1900,fine_tuned_sam2_severstal_full,0.023,,,,,,
2025-04-29T09:30:23.061625,train,severstal,2000,fine_tuned_sam2_severstal_full,0.4993,,,,,,
2025-04-29T09:30:28.831151,train,severstal,2100,fine_tuned_sam2_severstal_full,0.5599,,,,,,
